id,name,full_name,birthday,height,weight
9905,Steve McDowall,Steven Clark McDowall,1961-08-27 00:00:00,1.83,101
9922,Marius Felix,Marius Felix,,,
9929,Karl Svoboda,Karl Franklin Svoboda,1962-03-23 00:00:00,,
9940,David Knox,David John Knox,1963-08-08 00:00:00,1.85,86
9950,Rodrigo de la Arena,Rodrigo de la Arena,,,
9956,Eiji Kutsuki,Eiji Kutsuki,1962-12-25 00:00:00,1.73,76
9959,Ifereimi Tawake,Ifereimi Tawake,1962-09-21 00:00:00,1.98,99
9963,Stefan Tofan,Stefan Ioan Tofan,1965-02-25 00:00:00,,
9964,Valere Tufa,Valere Tufa,1965-07-08 00:00:00,1.78,94
9976,Gord MacKinnon,Gordon I. MacKinnon,1958-08-27 00:00:00,,
9983,Luigi Troiani,Luigi Troiani,1964-02-25 00:00:00,1.83,84
9985,Sergio Zorzi,Sergio Zorzi,1964-04-21 00:00:00,,
9991,Gavin Hastings,Andrew Gavin Hastings,1962-01-03 00:00:00,1.88,94
9992,Scott Hastings,Scott Hastings,1964-12-04 00:00:00,1.85,90
9993,Mark Jones,Mark Alun Jones,1965-06-22 00:00:00,1.96,118
9994,Robert Jones,Robert Nicholas Jones,1965-10-10 00:00:00,1.73,73
10010,Dean Richards,Dean Richards,1963-07-11 00:00:00,1.91,120
10012,Luis Luis Nieves,Luis Luis Nieves,,,
10014,Javier Diaz Paternain,Javier Diaz Paternain,,,
10015,Alberto Malo Navio,Alberto Malo Navio,1964-04-03 00:00:00,1.91,99
10019,Wahl Bartmann,Wahl Justice Bartmann,1963-06-13 00:00:00,1.88,86
10020,Jannie Breedt,Johannes Chrisoffel Breedt,1959-06-04 00:00:00,1.96,99
10024,Uli Schmidt,Ulrich Louis Schmidt,1961-07-10 00:00:00,1.8,87
10029,Garth Wright,Garth Derick Wright,1963-09-09 00:00:00,1.75,73
10030,Juan Jose Angelillo,Juan Jose Angelillo,1963-04-10 00:00:00,,
10031,Savenaca Aria,Savenaca Aria,1964-04-30 00:00:00,1.85,95
10040,Katsuhiro Matsuo,Katsuhiro Matsuo,1964-01-06 00:00:00,1.73,69
10042,Osamu Ota,Osamu Ota,1965-03-23 00:00:00,,
10045,Glen Ennis,Glen D. Ennis,1964-05-19 00:00:00,,
10072,Michael Jones,Laauli Michael Niko Jones,1965-04-08 00:00:00,1.85,97
10074,Lolani Koko,Rolagi Koko,1963-10-02 00:00:00,,
10081,Stan To'omalatai,Paepaetele Stan To'omalatai,1962-12-13 00:00:00,1.8,109
10082,To'o Vaega,To'o Malo Vaega,1965-08-17 00:00:00,1.8,89
10086,Mike Brewer,Michael Robert Brewer,1964-11-06 00:00:00,1.96,102
10090,Andy Earl,Andrew Thomas Earl,1961-09-12 00:00:00,1.91,97
10091,Sean Fitzpatrick,Sean Brian Thomas Fitzpatrick,1963-06-04 00:00:00,1.83,105
10109,Mark Hartill,Mark Norman Hartill,1964-05-29 00:00:00,1.83,109
10118,Yoshihiko Sakuraba,Yoshihiko Sakuraba,1966-09-22 00:00:00,1.91,103
10123,Graham Dawe,Richard Graham Reed Dawe,1959-09-04 00:00:00,1.8,92
10129,Alain Carminati,Alain Carminati,1966-08-17 00:00:00,1.96,107
10130,Bruce Breen,Bruce Breen,1961-10-13 00:00:00,,
10131,Mark Cardinal,Mark E. Cardinal,1961-05-05 00:00:00,1.8,92
10132,Eddie Evans,Edward A. Evans,1964-09-15 00:00:00,1.8,107
10134,Franck Mesnel,Franck Mesnel,1961-06-30 00:00:00,1.8,89
10137,Gareth Rees,Gareth Lloyd Rees,1967-06-30 00:00:00,1.83,92
10144,Marcello Cuttitta,Marcello Cuttitta,1966-09-02 00:00:00,1.8,86
10148,Marc Cecillon,Marc Cecillon,1959-01-30 00:00:00,1.91,107
10149,Richie Collins,Richard Graham Collins,1962-03-02 00:00:00,1.85,91
10151,Ieuan Evans,Ieuan Cennydd Evans,1964-03-21 00:00:00,1.78,84
10156,Louis Armary,Louis Armary,1963-07-24 00:00:00,1.83,101
10158,Greig Oliver,Greig Hunter Oliver,1964-09-12 00:00:00,,
10162,Jeff Probyn,Jeffrey Alan Probyn,1956-04-27 00:00:00,1.78,101
10168,Jon Webb,Jonathan Mark Webb,1963-08-24 00:00:00,,
10171,Jose Luis Moral Iglesias,Jose Luis Moral Iglesias,,1.85,105
10178,Gary Hein,Gary Mel Hein,1965-03-26 00:00:00,,
10181,Sebastian Salvat,Sebastian Salvat,1967-04-05 00:00:00,,
10185,Anthony Herbert,Anthony Gerrard Herbert,1966-08-13 00:00:00,,
10189,Zinzan Brooke,(Murray) Zinzan Valentine Brooke,1965-02-14 00:00:00,1.93,104
10192,Richard Loe,Richard Wyllie Loe,1960-04-06 00:00:00,1.88,109
10197,Craig Brown,Craig David Brown,1968-02-01 00:00:00,1.91,89
10200,Troy Coker,Troy Coker,1965-05-30 00:00:00,1.98,109
10204,Campbell Graham,Kevin Campbell Graham,,,
10207,Marthinus Grobler,Marthinus Grobler,,,
10226,Sinali-Tui Latu,Sinali-Tuimana Latu,1965-08-22 00:00:00,,
10233,Tony Ridnell,Anthony Morris Ridnell,1961-01-01 00:00:00,1.98,106
10238,Taipaleti Tu'uta,Taipaleti Kakato Tu'uta,,,
10241,Manu Vunipola,Manu Vunipola,,,
10244,Terry Kingston,Terence John Kingston,1963-09-19 00:00:00,1.78,98
10247,Mosese Taga,Mosese Taga,1964-09-17 00:00:00,1.73,109
10257,Derek Turnbull,Derek James Turnbull,1961-10-02 00:00:00,,
10258,Aisake Nadolo Tokaduadua,Aisake Nadolo Tokaduadua,1964-07-13 00:00:00,1.98,114
10263,Neil Francis,Neil Patrick (John) Francis,1964-03-17 00:00:00,1.98,118
10266,Steve Smith,Stephen James Smith,1959-07-18 00:00:00,,
10267,Dai Young,David Young,1967-07-26 00:00:00,1.85,117
10268,Richard Webster,Richard Edward Webster,1967-07-09 00:00:00,1.88,107
10269,Javier Aguiar Cayetano,Francisco Javier Aguiar Cayetano,1966-04-25 00:00:00,1.75,90
10274,Pablo Garreton,Pablo Arturo Garreton,1966-06-26 00:00:00,,
10283,Mario Gerosa,Mario Oscar Gerosa,1967-04-27 00:00:00,,
10288,Santiago Meson,Santiago Estaban Meson,1968-01-25 00:00:00,1.8,87
10291,John Schuster,Nesetorio Johnny Schuster,1964-01-17 00:00:00,1.83,95
10296,Ian Williams,Ian Malcolm Williams,1963-09-23 00:00:00,,
10297,Graeme Bachop,Graeme Thomas Miro Bachop,1967-06-11 00:00:00,1.78,81
10299,Matthew Cooper,Matthew James Andrew Cooper,1966-10-10 00:00:00,1.88,92
10302,Tony Clement,Anthony Clement,1967-02-08 00:00:00,,
10304,Julian Gardner,Julian Michael Harold Gardner,1964-05-12 00:00:00,1.93,99
10310,Francesco Pietrosanti,Francesco Pietrosanti,1963-06-21 00:00:00,,
10317,Mark Williams,Mark Andrew Williams,1961-06-26 00:00:00,1.8,86
10323,Norm Hadley,Norman Hadley,1964-12-02 00:00:00,2.01,130
10326,Chris Tynan,Christopher James Calhoun Tynan,1966-07-11 00:00:00,1.75,79
10329,Aitor Gorrotxategui Fernandez,Aitor Gorrotxategui Fernandez,,,
10332,Rodrigo Castro Pereira,Rodrigo Castro Pereira,,,
10335,Fergus Aherne,Leslie Fergus Patrick Aherne,1963-03-16 00:00:00,,
10336,Will Carling,William David Charles Carling,1965-12-12 00:00:00,1.8,89
10337,Damian Cronin,Damian Francis Cronin,1963-04-17 00:00:00,1.98,111
10338,Phil Danaher,Philip Paul Anthony Danaher,1965-10-05 00:00:00,,
10339,John Fitzgerald,John Joseph Jude Fitzgerald,1961-08-31 00:00:00,1.8,104
10340,Kenny Milne,Kenneth Stuart Milne,1961-12-01 00:00:00,,
10344,Mike Hall,Michael Robert Hall,1965-10-13 00:00:00,1.88,97
10346,Massimo Bonomi,Massimo Bonomi,1967-06-22 00:00:00,1.8,89
10347,Corrado Covi,Corrado Covi,1964-10-03 00:00:00,1.88,99
10348,Roberto Favaro,Roberto Favaro,1965-02-09 00:00:00,1.96,115
10349,Moreno Trevisiol,Moreno Trevisiol,1963-04-29 00:00:00,,
10350,Eduardo Macedo,Eduardo Macedo,,,
10354,Denis McBride,William Denis McBride,1964-09-09 00:00:00,1.8,90
10355,Chris Oti,Christopher C. Oti,1965-06-16 00:00:00,,
10361,George Dumitrescu,George Dumitrescu,1965-03-17 00:00:00,1.83,119
10362,Daniel Neaga,Daniel Neaga,1965-11-05 00:00:00,1.73,79
10364,John Bentley,John Bentley,1966-09-05 00:00:00,1.83,98
10365,Vince Cunningham,Vincent John Gerald Cunningham,1967-03-14 00:00:00,1.8,87
10366,Andy Robinson,Richard Andrew Robinson,1964-04-03 00:00:00,1.75,87
10369,Paul Burnell,Andrew Paul Burnell,1965-09-29 00:00:00,1.85,108
10371,Craig Chalmers,Craig Minto Chalmers,1968-10-15 00:00:00,1.8,87
10372,Chris Gray,Christopher Anthony Gray,1960-07-11 00:00:00,,
10373,Jim Hay,James Allan Hay,1964-08-08 00:00:00,1.78,97
10382,Jeremy Richardson,Jeremy Francis Richardson,1963-09-07 00:00:00,,
10387,Kini Malai,Kini Malai,,,
10389,Ilisoni Naituku,Ilisoni Naituku,,,
10390,Pita Naruma,Pita Naruma,1959-11-27 00:00:00,1.91,98
10394,Sakeasi Vonalagi,Sakeasi Vonalagi,1965-04-18 00:00:00,1.85,95
10399,Nigel Davies,Nigel Davies,1965-03-29 00:00:00,1.85,90
10406,Chris O'Brien,Christopher Patrick O'Brien,1964-08-05 00:00:00,,
11009,Ben Hough,Ben Hough,,,
10413,Gabriel Filizzola,Eduardo Gabriel Filizzola,1965-09-30 00:00:00,1.75,81
10415,Marcelo Urbano,Marcelo Urbano,1965-10-02 00:00:00,,
10420,Frederic Velo,Frederic Velo,1966-01-04 00:00:00,1.85,92
10425,Tim Gavin,Bryant Timothy Gavin,1963-11-20 00:00:00,1.98,106
10427,Sandu Ciorascu,Sandu Ciorascu,1966-09-11 00:00:00,1.96,122
10428,Bill Leversee,William Neil Leversee,1964-06-02 00:00:00,,
10431,Nicolae Racean,Nicolae F. Racean,1963-11-29 00:00:00,1.8,79
10433,Shinobu Aoki,Shinobu Aoki,1968-01-26 00:00:00,,
10440,David Evans,David Wyn Evans,1965-11-01 00:00:00,,
10442,Masami Horikoshi,Masami Horikoshi,1968-11-27 00:00:00,1.6,68
10461,Yoshihito Yoshida,Yoshihito Yoshida,1969-02-18 00:00:00,1.7,74
10464,Tevita Vonolagi,Tevita Vonolagi,1963-11-29 00:00:00,1.78,80
10466,Andrew Aiolupo,Andrew Anetele'a Aiolupo,1963-01-17 00:00:00,,
10469,Peter Fatialofa,Peter Momoe Fatialofa,1959-04-26 00:00:00,,
10470,Malaki Iupeli,Malaki Iupeli,1965-11-23 00:00:00,,
10471,Saini Lemamea,Saini Lemamea,1964-07-14 00:00:00,,
10472,Noel Mannion,Noel Patrick Stephen Mannion,1963-01-12 00:00:00,,
10474,Pat O'Hara,Patrick Thomas (John) O'Hara,1961-08-04 00:00:00,,
10475,Filipo Saena,Filipo D. Saena,1966-06-06 00:00:00,,
10477,Keneti Sio,Keneti Sio,1964-04-03 00:00:00,,
10479,Daryl Williams,Daryl Richard Williams,1964-09-30 00:00:00,1.98,106
10481,Steve Bates,Stephen Michael Bates,1963-03-04 00:00:00,1.78,82
10484,Kevin Dunn,Kevin Anthony Dunn,1965-06-05 00:00:00,1.75,92
10485,Rhys Ellison,Daniel Rhys Ellison,1966-03-06 00:00:00,1.8,93
10493,Len Mason,Leonard Ralph Mason,1965-05-05 00:00:00,,
10494,Dewi Morris,Colin Dewi Morris,1964-02-09 00:00:00,1.83,88
10501,Tupo Fa'amasino,Tupo Fa'amasino,1966-04-13 00:00:00,1.83,94
10504,Mike Griffiths,Michael Griffiths,1962-03-18 00:00:00,1.8,104
10507,John Wakeford,John Donald Marshall Wakeford,1966-09-29 00:00:00,2.01,112
10508,Hugh Williams-Jones,Hugh Williams-Jones,1963-01-10 00:00:00,1.8,111
10510,Gary Armstrong,Gary Armstrong,1966-09-30 00:00:00,1.73,89
10512,Kiyoshi Imaizumi,Kiyoshi Imaizumi,1967-09-13 00:00:00,,
10513,Masahiro Kunda,Masahiro Kunda,1966-09-29 00:00:00,1.78,97
10516,Marc dal Maso,Marc dal Maso,1967-02-14 00:00:00,1.83,97
10517,Thierry Devergie,Thierry Devergie,1966-07-27 00:00:00,1.98,117
10518,Nicolae Fulina,Nicolae Fulina,1965-10-22 00:00:00,1.83,79
10519,Traian Oroian,Traian Oroian,1965-12-25 00:00:00,1.93,104
10523,Massimo Brunello,Massimo Brunello,1967-06-18 00:00:00,1.8,81
10525,Umberto Casellato,Umberto Casellato,1969-04-07 00:00:00,1.75,81
10530,John Olver,Christopher John Olver,1961-04-23 00:00:00,,
10535,Giovanni Grespan,Giovanni Grespan,1967-01-21 00:00:00,1.85,116
10536,Phil John,Phil John,1962-02-05 00:00:00,1.75,88
10537,Philippe Saint-Andre,Philippe Georges Saint-Andre,1967-04-19 00:00:00,1.8,91
10539,Francisco Borges,Francisco Borges,,,
10540,Vasco Durao,Vasco Durao,,,
10542,Jose Gomes,Jose Maria Vilar Gomes,,,
10549,Jerry Guscott,Jeremy Clayton Guscott,1965-07-07 00:00:00,1.85,87
10554,Ian Corcoran,Ian Corcoran,1963-05-11 00:00:00,,
10556,Cameron Glasgow,Iain Cameron Glasgow,1966-02-24 00:00:00,,
10559,Hiroyuki Kajihara,Hiroyuki Kajihara,1966-09-28 00:00:00,,
10560,Shuji Nakashima,Shuji Nakashima,1965-07-08 00:00:00,,
10561,Masanori Takura,Masanori Takura,1966-09-30 00:00:00,1.78,95
10563,Grant Wilson,Grant Douglas Wilson,1966-11-10 00:00:00,,
10564,Peter Wright,Peter Hugh Wright,1967-12-30 00:00:00,1.8,113
10565,Asier Altuna Izaguirre,Asier Altuna Izaguirre,1968-10-03 00:00:00,1.83,111
10567,Fidel Castro Briones,Fidel Castro Briones,,,
10569,Jaime Gutierrez Merelles,Jaime Gutierrez Merelles,1967-12-28 00:00:00,1.85,100
10574,Miguel Bertranou,Miguel J.S. Bertranou,1967-06-04 00:00:00,,
10575,Pablo Buabse,Pablo Marcelo Buabse,1963-03-27 00:00:00,,
10576,Pierpaolo Pedroni,Pierpaolo Pedroni,1964-05-20 00:00:00,1.93,114
10577,Franco Properzi-Curti,Franco Properzi-Curti,1965-11-04 00:00:00,1.88,112
10581,Dan Crowley,Daniel James Crowley,1965-08-28 00:00:00,1.75,102
10583,Olivier Roumat,Olivier Roumat,1966-06-16 00:00:00,1.98,109
10585,Luke Erenavula,Luke Erenavula,1965-06-01 00:00:00,,
10587,Ricardo le Fort,Ricardo Agusto le Fort,1965-10-13 00:00:00,,
10591,Ron Williams,Ronald Oscar Williams,1963-07-20 00:00:00,,
10594,Tony Daly,Anthony John Daly,1966-03-07 00:00:00,1.78,102
10595,Tim Horan,Timothy James Horan,1970-05-18 00:00:00,1.83,92
10596,Phil Kearns,Philip Nicholas Kearns,1967-06-27 00:00:00,1.83,109
10599,Andre Joubert,Andre Johan Joubert,1964-04-15 00:00:00,1.88,91
10600,Faffa Knoetze,Francois Knoetze,1963-01-18 00:00:00,,
10601,Adolf Malan,Adolf Weich Malan,1961-09-06 00:00:00,2.03,103
10602,Hein Rodgers,Pieter Heinrich Rodgers,1962-06-23 00:00:00,1.83,105
10606,John Graf,John D. Graf,1968-12-03 00:00:00,1.75,88
10607,Nick Popplewell,Nicholas James Popplewell,1964-04-06 00:00:00,1.78,109
10609,Bobby Ross,Robert P. Ross,1969-08-29 00:00:00,1.8,83
10610,Paul Szabo,Paul J. Szabo,1962-09-12 00:00:00,,
10612,Gerry McDonald,Gerry McDonald,1961-06-02 00:00:00,1.75,108
10614,Zaza Bakuradze,Zaza Bakuradze,,,
10615,David Dzagnidze,Nugzar Dzagnidze,,,
10617,Giorgi Guiunashvili,Gia Guiunashvili,,,
10620,Nurbi-Tamaz Khuade,Nurbi-Tamaz Khuade,,,
10621,Alexander Khvedelidze,Alexander Khvedelidze,,,
10625,Kakha Machitidze,Kakha Machitidze,,,
10626,Tamaz Odisharia,Tamaz Odisharia,,,
10627,Guela Pirtskhalava,Guela Pirtskhalava,,,
10628,Tamaz Pkhakadze,Tamaz Pkhakadze,,,
10630,Malkhaz Tcheishvili,Malkhaz Tcheishvili,,,
10631,Tenguiz Turdzeladze,Tenguiz Turdzeladze,,,
10633,Chris Lippert,Christopher Lippert,1963-03-31 00:00:00,,
10634,Scott Stewart,Douglas Scott Stewart,1969-01-16 00:00:00,1.88,88
10637,Catalin Sasu,Catalin Sasu,1968-01-24 00:00:00,1.83,78
10641,Massimo Giovanelli,Massimo Giovanelli,1967-03-01 00:00:00,1.85,103
10642,Philippe Benetton,Philippe Benetton,1968-05-17 00:00:00,1.91,97
10643,David Berty,David Berty,1970-06-11 00:00:00,1.8,80
10644,Thierry Lacroix,Thierry Lacroix,1967-03-02 00:00:00,1.8,84
10647,Laurent Seigne,Laurent Seigne,1960-08-12 00:00:00,1.78,102
10648,Waisale Serevi,Waisale Tikoisolomoni Serevi,1968-05-20 00:00:00,1.75,79
10650,Pablo Camerlinckx,Pablo Jose Camerlinckx,1970-05-15 00:00:00,1.88,107
10652,Gustavo Jorge,Gustavo Martin Jorge,1971-10-24 00:00:00,,
10654,Jose Simes,Jose Eduardo Simes,1967-10-09 00:00:00,,
10657,Diego Dominguez,Diego Dominguez,1966-04-25 00:00:00,1.7,76
10662,Tomasi Lovo,Tomasi Lovo,1960-11-17 00:00:00,1.73,78
10663,Tony Stanger,Anthony George Stanger,1968-05-14 00:00:00,1.88,95
10668,Darren Junee,Darren Kevin Junee,1969-07-02 00:00:00,1.78,88
10670,Jason Little,Jason Sidney Little,1970-08-26 00:00:00,1.85,95
10671,Walter Little,Walter Kenneth Little,1969-10-14 00:00:00,1.78,89
10672,Gareth Llewellyn,Gareth Owen Llewellyn,1969-02-27 00:00:00,1.98,113
10673,Rod McCall,Roderick James McCall,1963-09-20 00:00:00,1.98,109
10676,Mosese Natuilagilagi,Mosese Natuilagilagi,,,
10677,Graham Purvis,Graham Herbert Purvis,1960-10-14 00:00:00,1.83,104
10678,Mike Rayer,Michael Anthony Rayer,1965-07-21 00:00:00,1.78,83
10680,John Timu,John Kahukura Raymond Timu,1969-05-08 00:00:00,1.8,81
10682,Jimmy Wainiqolo,Timoci Wainiqolo,1963-10-25 00:00:00,1.91,107
10692,Alan Buzza,Alan Jan Buzza,1966-03-03 00:00:00,1.8,82
10693,Gary Halpin,Garrett Francis Halpin,1966-02-14 00:00:00,1.83,110
10694,Garin Jenkins,Garin Richard Jenkins,1966-08-18 00:00:00,1.78,106
10697,Mark Perego,Mark Angelo Perego,1964-02-08 00:00:00,1.83,95
10698,Peter Russell,Peter Russell,1962-02-22 00:00:00,,
10699,John Allan,John Allan,1963-11-25 00:00:00,1.78,101
10700,Steve Ford,Stephen Paul Ford,1965-08-15 00:00:00,1.83,85
10701,Peyo Hontas,Pierre Hontas,1966-07-19 00:00:00,1.83,85
10703,Jean-Marc Lhermet,Jean-Marc Lhermet,1967-08-14 00:00:00,1.91,95
10706,Allan Bateman,Allan Glen Bateman,1965-03-06 00:00:00,1.75,83
10710,Eric Melville,Eric Melville,1961-06-27 00:00:00,1.96,107
10713,Tadashi Goda,Tadashi Goda,,,
10716,Hirofumi Ouchi,Hirofumi Ouchi,1966-11-07 00:00:00,,
10717,Alipate Rabitu,A. Rabitu,,,
10718,Ilie Tabua Tamanivalu,Ilivasi Sevia Tabua Tamanivalu,1964-09-30 00:00:00,1.93,105
10719,Kazuaki Takahashi,Kazuaki Takahashi,1968-01-31 00:00:00,,
10720,Craig Redpath,A.Craig Redpath,1969-09-21 00:00:00,1.83,93
10724,Pedro Correia Neiva,Pedro Correia Neiva,,,
10726,Mick Galwey,Michael Joseph Galwey,1966-10-08 00:00:00,1.93,115
10727,Joao Jonet,Joao Jonet,,,
10728,Epeli Naituivau,Epeli Naituivau,1962-05-22 00:00:00,1.88,114
10729,Jose Pires,Jose Carlos Pires,,,
10730,Joao Rocheta,Joao Rocheta,,,
10731,Fili Seru,Filimoni Seru,1970-03-11 00:00:00,1.78,76
10732,Nuno Thomaz,Nuno F. Thomaz,,,
10734,Alan Charron,Alan John Charron,1966-07-27 00:00:00,1.96,122
10737,Massimo Cuttitta,Massimo Cuttitta,1966-09-02 00:00:00,1.78,109
10740,Mauro Tommasi,Mauro Tommasi,1964-02-11 00:00:00,1.78,88
10748,Takahiro Hosokawa,Takahiro Hosokawa,1967-04-01 00:00:00,,
10749,Danny Kaleopa,Danny K. Kaleopa,1966-05-03 00:00:00,1.83,94
10750,Afa Leu'u,Afato Leu'u,1962-01-02 00:00:00,1.85,114
10751,Tevita Lavaki,Tevita Lavaki,,,
10752,Teutau Loto'ahea,Teutau Loto'ahea,,,
10753,Takau Lutua,Takau Lutua,,,
10754,Samiu Mafi,Samiu Mafi,,,
10756,Fololisi Masila,Penina Fololisi Masila,,1.75,96
10758,Sione Palenapa,Sione Palenapa,,,
10761,Isi Tapueluelu,Isileli Tapueluelu,1970-09-29 00:00:00,1.83,99
10762,Nafe Tufui,Nafe Tufui,,,
10766,Sila Vaifale,Muagututia Tuala Peseta Sila Vaifale,1967-07-05 00:00:00,1.93,96
10767,Elisi Vunipola,Elisi Busco Vunipola,1972-06-05 00:00:00,1.73,90
10770,Davit Chavleishvili,Davit Chavleishvili,,,
10771,Constantin Cojocariu,Constantin Cojocariu,1965-06-27 00:00:00,2.01,114
10772,Gheorghe Dinu,Gheorghe Dinu,1962-11-16 00:00:00,,
10775,Merab Marjanishvili,Merab Marjanishvili,,,
10777,Neculai Nichitean,Neculai Nichitean,1969-09-27 00:00:00,1.8,84
10778,Badri Shvanguiradze,Badri Shvanguiradze,,,
10783,Antonio Cunha,Antonio Cunha,1968-09-25 00:00:00,1.88,100
10784,Gia Rapava,Gia Rapava,,,
10785,Pedro Rodrigues,Pedro Rodrigues,,,
10788,Neil Back,Neil Antony Back,1969-01-16 00:00:00,1.78,92
10793,Phil de Glanville,Philip Ranulph de Glanville,1968-10-01 00:00:00,1.8,85
10800,Eric Peters,Eric William Peters,1969-01-28 00:00:00,1.96,104
10802,Dave Sims,David Sims,1969-11-22 00:00:00,1.98,115
10804,Gavin Thompson,Gavin John Thompson,1969-08-20 00:00:00,1.83,84
10805,Harvey Thorneycroft,Harvey Spencer Thorneycroft,1969-02-22 00:00:00,1.83,97
10807,Pedro Rogerio Arsenio,Melva Pedro Rogerio Arsenio,1971-07-26 00:00:00,1.88,109
10810,Bedford Chimbima,Elimon Chimbima,1969-01-01 00:00:00,1.78,79
10812,Brendon Dawson,Brendon Neil Dawson,1967-09-02 00:00:00,1.88,101
10814,Adrian Garvey,Adrian Christopher Garvey,1968-06-25 00:00:00,1.91,116
10818,Mark Letcher,Mark Stephen Letcher,1965-10-14 00:00:00,,
10820,Roger Moore,Roger Anthony Moore,1967-01-29 00:00:00,1.83,107
10822,Dave Walters,David Andrew Walters,1968-11-16 00:00:00,,
10825,Marian Dumitru,Marian Dumitru,1969-03-08 00:00:00,,
